CUSTOMER_ID,FIRST_NAME,LAST_NAME,EMAIL,BIRTHDATE,GENDER,PHONE,COUNTRY,ADDRESS,LAT,LNG
1,Dare,McMorran,dmcmorran0@naver.com,19/8/1985,Male,969-155-7984,United States,44 Pankratz Junction,33.148,-94.463
2,Serge,Klimontovich,sklimontovich1@vinaora.com,21/8/1985,Male,327-457-2369,usa,3541 Coleman Road,31.833,-88.96
3,Margo,Scurrah,mscurrah2@ted.com,19/1/2003,Female,903-238-8080,United States,69 Raven Alley,40.389,-76.263
4,Damara,Corder,dcorder3@lycos.com,8/1/1998,Female,156-847-0768,Canada,0235 Warbler Avenue,46.324,-73.848
5,Chadwick,Barhims,cbarhims4@oakley.com,7/3/1988,Male,611-291-7795,United Kingdom,616 Longview Avenue,51.389,-0.135
6,Issi,Picheford,ipicheford5@seattletimes.com,4/10/1999,Female,947-141-1868,USA,963 Marquette Point,37.527,-89.264
7,Harrie,Aickin,haickin6@imdb.com,26/4/2001,Female,282-234-1319,Canada,521 Sycamore Drive,46.595,-71.115
8,Devland,Moscone,dmoscone7@ca.gov,4/11/1995,Male,183-823-0599,United States,6686 Hanson Place,42.636,-80.073
9,Abramo,Brocklehurst,abrocklehurst8@hexun.com,27/2/2004,Male,454-884-2498,United States,83 Mcguire Road,36.193,-97.223
10,Renie,Pitbladdo,rpitbladdo9@cbslocal.com,8/1/2003,Female,228-671-5098,United Kingdom,007 Monica Park,51.29,-0.519
11,Ursola,Basnall,ubasnalla@sogou.com,4/2/1950,Female,945-219-0389,Canada,5010 Mallory Circle,50.881,-107.304
12,Vivienne,Jan,vjanb@usda.gov,10/9/2003,Female,769-909-4891,United Kingdom,91484 Bashford Avenue,51.331,-0.341
13,Solomon,Larsen,slarsenc@wikipedia.org,3/9/2004,Other,189-575-1814,United Kingdom,54 Erie Court,51.473,0.379
14,Dniren,Theodoris,dtheodorisd@berkeley.edu,24/8/1993,Female,757-494-8885,Canada,80529 Moulton Lane,50.497,-106.364
15,Cory,MacAindreis,cmacaindreise@jimdo.com,28/4/1998,Male,259-799-2892,United Kingdom,57991 Hudson Pass,51.57,-0.514
16,Hyatt,Tilly,htillyf@goo.ne.jp,26/1/2003,Male,208-596-6528,United States,4 Sage Terrace,33.51,-95.628
17,Pepillo,Weigh,pweighg@tinyurl.com,26/7/2001,Male,618-453-8856,United States,15215 Reinke Circle,35.8,-96.758
18,Gilberto,Adanez,gadanezh@merriam-webster.com,22/12/1993,Male,552-103-2643,usa,45 Talmadge Center,35.153,-94.525
19,Geoffrey,Ramsell,gramselli@bloglovin.com,13/5/1991,Other,424-111-1971,Canada,0 Bunting Lane,46.061,-71.459
20,Noby,Notley,nnotleyj@netlog.com,22/9/1993,Male,497-632-2961,United States,18117 Vahlen Hill,33.119,-99.507
21,Sibbie,Wathall,swathallk@google.fr,9/10/1998,Female,115-271-0077,United States,636 Londonderry Point,31.67,-87.339
22,Tanhya,Erlam,terlaml@stumbleupon.com,26/12/1978,Female,511-298-8692,Canada,48858 Elgar Trail,46.271,-75.681
23,Shannon,Gloucester,sgloucesterm@wordpress.com,27/10/2002,Male,930-537-2811,United States,5707 Loeprich Parkway,31.424,-87.326
24,Juliana,Beecker,jbeeckern@samsung.com,6/5/2002,Female,610-145-1086,United Kingdom,74 Clove Hill,51.629,0.196
25,Lew,Bunny,lbunnyo@chicagotribune.com,22/6/1995,Male,912-354-7948,United States,4 Florence Drive,39.004,-99.642
26,Pincus,Ewence,pewencep@taobao.com,3/12/1989,Male,695-614-5964,United States,062 Memorial Alley,42.731,-74.39
27,Benyamin,Kruschev,bkruschevq@nhs.uk,11/10/1999,Male,743-643-3018,United Kingdom,8911 Emmet Pass,51.683,-0.454
28,Jsandye,Sinyard,jsinyardr@weebly.com,1/11/1987,,573-525-5626,United Kingdom,5 Caliangt Street,51.437,-0.119
29,Zolly,McKee,zmckees@guardian.co.uk,17/7/2000,Male,336-283-3487,usa,6652 Almo Drive,33.81,-90.532
30,Chastity,Hayford,chayfordt@gizmodo.com,3/6/1987,Female,144-496-5254,usa,5238 Dixon Street,35.845,-82.074
